Age,Earnings Past 12 Months,Usual Weekly Hours,Female,Married,No High School Degree,High School Degree or GED,Some College,Associates Degree,Bachelors Degree,Masters Degree,Professional Degree,Doctorate,Employed,White,Black,American Indian or Native American,Asian,Hawaiian or Pacific Islander,Other Race,Biracial,Hispanic,Worked 40+ Weeks During Past 12 Months,Worked 35+ Hours in a Typical Week
47,023400,40,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,01
60,000000,,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,00
57,000000,,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00
51,000000,,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00
48,000000,,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,00
41,070000,50,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,01
49,000000,,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00
52,000000,,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,00
42,033600,40,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,01
60,000000,,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,00
54,000000,,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,00
46,029600,30,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,00
61,000000,,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00
49,000000,,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,00
41,008400,24,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,00
52,000000,,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,00
59,000000,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00
58,005500,20,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,00
54,053000,40,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,01
50,036000,40,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,01
49,020800,25,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,00
58,035000,72,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,01
53,020800,40,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,01
55,000000,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,00
46,029000,40,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,01
61,345000,48,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,01
63,000000,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00
52,000000,,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00
55,065000,40,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,01
64,013800,20,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,00
63,028000,40,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,01
54,000000,,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00
29,023200,40,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,01
59,029100,40,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,01
60,017500,40,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,01
58,050000,40,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,01
21,000400,12,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,00
40,000000,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00
25,000000,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,00
58,000000,,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,00
64,012600,32,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,00
42,042000,38,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,01
47,020000,40,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,01
55,006600,20,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,00
31,000400,40,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,01
64,000000,,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00
58,000000,50,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,01
26,000000,,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,00
20,000000,,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,00
51,015000,25,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,00
51,000000,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,00
57,056000,45,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,01
49,021000,40,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,01
55,000240,10,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,00
62,036000,70,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,01
63,000000,,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,00
55,000000,,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,00
51,012000,30,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,00
61,025000,37,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,01
54,000000,,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,00
61,033000,32,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,00
59,000000,,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,00
31,075000,40,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,01
43,051000,32,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,00
52,000000,,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00
39,028000,40,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,01
62,000000,,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00
43,000000,,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,00
56,000000,60,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,01
59,121000,63,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,01
